"Year","Month","Day","Hour","Minute","DNI"
2000,1,9,21,30,0
2000,1,9,22,30,0
2000,1,9,23,30,0
2000,1,10,0,30,0
2000,1,10,1,30,0
2000,1,10,2,30,0
2000,1,10,3,30,0
2000,1,10,4,30,0
2000,1,10,5,30,0
2000,1,10,6,30,0
2000,1,10,7,30,0
2000,1,10,8,30,0
2000,1,10,9,30,0
2000,1,10,10,30,0
2000,1,10,11,30,0
2000,1,10,12,30,0
2000,1,10,13,30,0
2000,1,10,14,30,0
2000,1,10,15,30,0
2000,1,10,16,30,0
2000,1,10,17,30,0
2000,1,10,18,30,0
2000,1,10,19,30,0
2000,1,10,20,30,0
2000,1,10,21,30,0
2000,1,10,22,30,0
2000,1,10,23,30,0
2000,1,11,0,30,0
2000,1,11,1,30,0
2000,1,11,2,30,0
2000,1,11,3,30,0
2000,1,11,4,30,0
2000,1,11,5,30,0
2000,1,11,6,30,0
2000,1,11,7,30,0
2000,1,11,8,30,386
2000,1,11,9,30,94
2000,1,11,10,30,127
2000,1,11,11,30,0
2000,1,11,12,30,0
2000,1,11,13,30,248
2000,1,11,14,30,494
2000,1,11,15,30,91
2000,1,11,16,30,199
2000,1,11,17,30,0
2000,1,11,18,30,0
2000,1,11,19,30,0
2000,1,11,20,30,0
2000,1,11,21,30,0
2000,1,11,22,30,0
2000,1,11,23,30,0
2000,1,12,0,30,0
2000,1,12,1,30,0
2000,1,12,2,30,0
2000,1,12,3,30,0
2000,1,12,4,30,0
2000,1,12,5,30,0
2000,1,12,6,30,0
2000,1,12,7,30,0
2000,1,12,8,30,572
2000,1,12,9,30,762
2000,1,12,10,30,849
2000,1,12,11,30,765
2000,1,12,12,30,896
2000,1,12,13,30,873
2000,1,12,14,30,802
2000,1,12,15,30,649
2000,1,12,16,30,262
2000,1,12,17,30,0
2000,1,12,18,30,0
2000,1,12,19,30,0
2000,1,12,20,30,0
2000,1,12,21,30,0
2000,1,12,22,30,0
2000,1,12,23,30,0
2000,1,13,0,30,0
2000,1,13,1,30,0
2000,1,13,2,30,0
2000,1,13,3,30,0
2000,1,13,4,30,0
2000,1,13,5,30,0
2000,1,13,6,30,0
2000,1,13,7,30,0
2000,1,13,8,30,0
2000,1,13,9,30,0
2000,1,13,10,30,0
2000,1,13,11,30,0
2000,1,13,12,30,0
2000,1,13,13,30,0
2000,1,13,14,30,0
2000,1,13,15,30,0
2000,1,13,16,30,0
2000,1,13,17,30,0
2000,1,13,18,30,0
2000,1,13,19,30,0
2000,1,13,20,30,0
2000,1,13,21,30,0
2000,1,13,22,30,0
2000,1,13,23,30,0
2000,1,14,0,30,0
2000,1,14,1,30,0
2000,1,14,2,30,0
2000,1,14,3,30,0
2000,1,14,4,30,0
2000,1,14,5,30,0
2000,1,14,6,30,0
2000,1,14,7,30,183
2000,1,14,8,30,662
2000,1,14,9,30,825
2000,1,14,10,30,901
2000,1,14,11,30,930
2000,1,14,12,30,927
2000,1,14,13,30,896
2000,1,14,14,30,825
2000,1,14,15,30,674
2000,1,14,16,30,283
2000,1,14,17,30,0
2000,1,14,18,30,0
2000,1,14,19,30,0
2000,1,14,20,30,0
2000,1,14,21,30,0
2000,1,14,22,30,0
2000,1,14,23,30,0
2000,1,15,0,30,0
2000,1,15,1,30,0
2000,1,15,2,30,0
2000,1,15,3,30,0
2000,1,15,4,30,0
2000,1,15,5,30,0
2000,1,15,6,30,0
2000,1,15,7,30,124
2000,1,15,8,30,609
2000,1,15,9,30,785
2000,1,15,10,30,866
2000,1,15,11,30,897
2000,1,15,12,30,440
2000,1,15,13,30,378
2000,1,15,14,30,325
2000,1,15,15,30,614
2000,1,15,16,30,235
2000,1,15,17,30,0
2000,1,15,18,30,0
2000,1,15,19,30,0
2000,1,15,20,30,0
2000,1,15,21,30,0
2000,1,15,22,30,0
2000,1,15,23,30,0
